row_number,instruction,original_path,edited_path,model_path,semantic_consistency,perceptual_quality,overall,rationale
63,"Vorne geschlossen, Ärmel entfernen, Einen langen Rockteil aus weisser Spitze ansetzen der wie gardine aussieht, Ballonartige eckige Taschen aus dem Jackenstoff aufsetzen die über den rockteil ragen",extracted_images/63.png,local_model_evaluation_results/edited_images/63_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,7,6,6.5,"The edited image follows the instruction to a reasonable extent. The jacket is closed, the sleeves are removed, and a long white lace-like skirt is added. However, the ballon-like pockets are not accurately represented, and the overall visual quality is somewhat distorted, especially around the neck and chest area. The figure's proportions and the integration of the new elements could be improved."
64,"Vorne geschlossen, Ärmel zu kurzarm kürzen, Einen langen Rockteil aus pink farbener Tüllspitze ansetzen der wie gardine aussieht, Ballonartige eckige Taschen aus dem Jackenstoff aufsetzen die über den rockteil ragen",extracted_images/64.png,local_model_evaluation_results/edited_images/64_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,6,7,6.5,"The edited image follows the instruction to change the jacket color to pink and shorten the sleeves, which is accurately represented. However, the instruction to add a long pink tulle skirt and balloon-like square pockets that extend over the skirt is not present in the edited image. The visual quality of the edited image is good, but it does not fully adhere to the given instructions."
65,"Photorealistic product photo, front view. A fashion skirt designed in an upcycling look: the waistband is made from the bottom part of a black jacket, with visible seams, zipper and pockets. Attached to this waistband is a very voluminous, floor-length white tulle skirt, airy, layered and elegant, falling evenly. The photo is on a pure white background, high resolution, shop style, luxury fashion editorial quality.",extracted_images/65.png,local_model_evaluation_results/edited_images/65_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,9,8.5,"The edited image closely follows the instruction, featuring a fashion skirt with a black jacket waistband that includes visible seams, a zipper, and pockets. The skirt is voluminous and white tulle, falling evenly and looking elegant. The background is pure white, and the image quality is high, giving it a shop-style, luxury fashion editorial feel. However, the black jacket used in the edit does not match the instruction of using the bottom part of a black jacket, which slightly reduces the score."
68,setze in die seitennähte schwarze tüllkanten ein,extracted_images/68.png,local_model_evaluation_results/edited_images/68_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds black borders along the edges of the shirt, which aligns well with the instruction 'setze in die seitennähte schwarze tüllkanten ein'. The visual quality is good, with the black borders appearing clean and well-integrated. However, the instruction specifies 'tüllkanten' (tulle edges), which might imply a softer, more delicate border rather than a solid black line, so there is a slight deviation from the literal interpretation of the instruction."
69,"add a drawstring in the waistlibe that is gathered wit black tulle ribbon that comes out at the sideseams, add wide tulle stripe to the sideseams",extracted_images/69.png,local_model_evaluation_results/edited_images/69_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a drawstring in the waistline that is gathered with a black tulle ribbon coming out at the side seams. Additionally, a wide tulle stripe is added to the side seams. However, the visual quality of the tulle and the integration with the original shirt could be improved for a more seamless and realistic appearance."
70,"add a drawstring in the wist that is gathered with a tulle band that comes out at the sideseams as bow, add tulle stripe to the sides edges",extracted_images/70.png,local_model_evaluation_results/edited_images/70_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds a drawstring at the waist, gathered with a tulle band that comes out at the sides as a bow. The tulle stripe along the sides is also present. The visual quality is good, but the integration of the tulle could be slightly more seamless. Overall, the edit closely follows the instruction."
71,"add a drawstring in the waist that is gathered with a white band that comes out at the sideseams as bow, add 3cm tulle stripe along the sides edges",extracted_images/71.png,local_model_evaluation_results/edited_images/71_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds a drawstring at the waist with a gathered white band and a bow at the sides, following the instruction closely. However, the tulle stripe along the sides is not visible, which slightly reduces the perceptual quality and overall score."
72,TOPSTITCH A TULLE BREAST POCKET FILLED WITH RHINESTONES,extracted_images/72.png,local_model_evaluation_results/edited_images/72_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds a tulle breast pocket filled with rhinestones, closely following the instruction. The visual quality is high, with the rhinestones and tulle pocket seamlessly integrated into the garment. The overall effect is visually appealing and aligns well with the given instruction."
73,TOPSTITCH A VERY TRANSPARENT TULLE BREAST POCKET THAT IS FILLED WITH LOSE RHINESTONES IN THE POCKETS THA SHOW THROUGH,extracted_images/73.png,local_model_evaluation_results/edited_images/73_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds a transparent tulle breast pocket filled with loose rhinestones, which is visible through the pocket. The visual quality is good, with the pocket and rhinestones clearly rendered. However, the transparency and sparkle of the rhinestones could be more pronounced to better match the instruction."
74,EMBROIDER THE HEM WITH HUGE RECTANGLE BLACK RHINESTONES,extracted_images/74.png,local_model_evaluation_results/edited_images/74_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully follows the instruction to embroider the hem with huge rectangle black rhinestones. However, the visual quality of the rhinestones could be more refined, and the transition between the white and black sections could be smoother. The overall effect is quite striking but has some minor imperfections."
75,TOPSTITCH A BLACK TULLE BIB THAT IS OPEN AT THE BUTTON LINE,extracted_images/75.png,local_model_evaluation_results/edited_images/75_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully incorporates a black tulle bib that is open at the button line, closely following the instruction. The visual quality of the edited image is high, with the black tulle bib seamlessly integrated into the original shirt. The overall effect is visually appealing and aligns well with the given instruction."
76,TOPSTITCH  10 BLACK TULLE RIBBONS VERTIKALLY to the chest IN THE SHAPE OF A BIB,extracted_images/76.png,local_model_evaluation_results/edited_images/76_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully adds black tulle ribbons to the chest area in the shape of a bib, following the instruction closely. However, the visual quality of the ribbons appears slightly artificial and the integration with the shirt could be more seamless. The overall effect is visually appealing but has minor inconsistencies."
77,INSERT A BLACK TULLE FABRIC BLOCK TO THE WAISTLINE to make it longer,extracted_images/77.png,local_model_evaluation_results/edited_images/77_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edit successfully follows the instruction by inserting a black tulle fabric block at the waistline, making the garment longer. The visual quality is good, with the fabric and color matching well. However, there are minor inconsistencies in the fabric texture and slight misalignment at the edges, which slightly affect the overall score."
78,add tulle stripe to the chest,extracted_images/78.png,local_model_evaluation_results/edited_images/78_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully adds a tulle stripe to the chest area, closely following the instruction. The visual quality is good, with the tulle stripe blending well with the rest of the sweater. However, there is a slight distortion at the edges of the tulle, which slightly affects the overall perceptual quality."
79,add neon yellow ribbon along shoulder and arm,extracted_images/79.png,local_model_evaluation_results/edited_images/79_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully adds a neon yellow ribbon along the shoulder and arm, closely following the instruction. The visual quality is good, with the neon yellow ribbon standing out clearly and blending well with the original sweater. The overall effect is visually appealing and accurately represents the intended edit."
80,"make short sleeves, topstitch pockets to the front",extracted_images/80.png,local_model_evaluation_results/edited_images/80_edited.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully converts the long-sleeve sweatshirt into a short-sleeve shirt and adds topstitched pockets to the front, closely following the instruction. The visual quality is good, but there are slight inconsistencies in the texture and stitching details, which slightly reduce the perceptual quality."
