row_number,instruction,original_path,edited_path,model_path,lora_name,semantic_consistency,perceptual_quality,overall,rationale
52,"add voluminous tulle bow to gather the neckline, shorten to blouse and make wide sleeves in same fabric",extracted_images/52.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/52_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,9,8.5,"The edited image successfully adds a voluminous tulle bow to the neckline, shortens the garment to resemble a blouse, and creates wide sleeves in the same fabric. The visual quality is high, with the new elements blending well with the original fabric. However, the instruction specifies the same fabric, but the edited image shows a different floral pattern on the sleeves, which slightly deviates from the instruction."
53,"betone die raffung mit einem zusätzlich aufgesteppten weissen band, mache weisse grobe vertikale stiche auf das rückteil",extracted_images/53.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/53_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,7,6,6.5,"The edited image partially follows the instruction to add a white band and white vertical stitches. However, the execution is not precise and the visual quality is somewhat distorted, with the fabric appearing heavily textured and the stitches not being perfectly vertical. The overall effect is somewhat chaotic and does not fully align with the instruction."
54,"insert white wide back panel below the gathering, make it a bit longer like a train",extracted_images/54.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/54_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,9,8.5,"The edited image successfully follows the instruction to insert a white wide back panel below the gathering, making it a bit longer like a train. The visual quality of the edited image is very good, with the new panel blending well with the existing garment. The overall effect is quite realistic and aesthetically pleasing."
55,add more horizontal drawstrings to the backpanel to tighten it,extracted_images/55.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/55_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds more horizontal drawstrings to the backpanel, which aligns well with the instruction. However, the visual quality of the added drawstrings appears slightly artificial and the overall fit looks somewhat unnatural, which slightly reduces the perceptual quality."
56,add frame of white fabric to the horzontal pleat at the chest and to the sideseams,extracted_images/56.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/56_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,7,8,7.5,"The edited image follows the instruction to add a white fabric frame to the horizontal pleat at the chest and to the side seams. However, the white fabric added is more intricate with ruffles and lace, which deviates slightly from the simplicity implied by 'white fabric.' The visual quality is high, but the added design elements introduce complexity that was not specified in the instruction."
57,add frame of 10cm white gathered tulle to the horizontal pleat at the chest and to the sideseam,extracted_images/57.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/57_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds white gathered tulle to the horizontal pleat at the chest and to the side seams, following the instruction closely. However, the visual quality of the tulle and its integration with the original fabric could be improved for a more natural appearance."
58,add frame of 10cm black tulle to the horizontal pleat at the chest and to the hem,extracted_images/58.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/58_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds a frame of black tulle to the horizontal pleat at the chest and to the hem, following the instruction closely. However, the visual quality of the tulle could be improved for a more natural and seamless appearance. The overall effect is good but could benefit from finer details and better integration of the tulle with the original fabric."
59,add a white volant to the hem to fill the gap,extracted_images/59.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/59_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edit successfully adds a white volant to the hem, filling the gap as instructed. The white volant is visually appealing and blends well with the black fabric, maintaining a high level of visual quality. The overall effect is aesthetically pleasing and closely follows the given instruction."
60,add a black transparent volant to the hem to fill the gap straight,extracted_images/60.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/60_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds a black transparent volant to the hem, which fills the gap and maintains a straight line. However, the transparency of the volant is not perfectly aligned with the instruction, and there are slight visual inconsistencies at the edges. The overall effect is visually appealing but could be improved for better alignment and transparency."
61,cut the bottompart of the skirt and gather it to the waist like a hugne peplum,extracted_images/61.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/61_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully follows the instruction to cut the bottom part of the skirt and gather it to the waist, creating a peplum effect. However, the gathering and the overall shape of the peplum are not perfectly smooth, which slightly reduces the perceptual quality. The visual quality is good but could be improved with more precise editing."
62,"Vorne geschlossen

Ärmel entfernen

Einen transparenten langen schwarzen Rockteil unten ansetzen

Ballonartige eckige Taschen aus dem Jackenstoff hinzufügen",extracted_images/62.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/62_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image follows the instructions fairly well. The jacket is now closed, the sleeves have been removed, and a transparent long black skirt has been added at the bottom. Additionally, balloon-like square pockets have been added using the jacket fabric. However, the visual quality of the edited image is slightly less realistic, particularly the transition between the jacket and the skirt, and the overall fit of the new elements. The overall score takes into account both the adherence to the instructions and the visual quality."
63,"Vorne geschlossen, Ärmel entfernen, Einen langen Rockteil aus weisser Spitze ansetzen der wie gardine aussieht, Ballonartige eckige Taschen aus dem Jackenstoff aufsetzen die über den rockteil ragen",extracted_images/63.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/63_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,7,8,7.5,"The edited image follows the instruction to a reasonable extent. The jacket is closed, the sleeves are removed, and a long white lace-like dress is added. However, the ballon-like pockets from the original jacket material are not present, which reduces the semantic consistency score. The visual quality of the edited image is good, but the overall transformation introduces some inconsistencies that slightly lower the overall score."
64,"Vorne geschlossen, Ärmel zu kurzarm kürzen, Einen langen Rockteil aus pink farbener Tüllspitze ansetzen der wie gardine aussieht, Ballonartige eckige Taschen aus dem Jackenstoff aufsetzen die über den rockteil ragen",extracted_images/64.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/64_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image follows the instruction fairly well. The jacket is now pink, the sleeves are shortened and balloon-like, and a long, sheer pink tulle skirt has been added, which aligns with the instruction. However, the overall visual quality is slightly compromised due to the transition between the different materials and colors, and the balloon sleeves are not perfectly executed. The ballon-like pockets are not visible, which slightly reduces the adherence to the instruction."
65,"Photorealistic product photo, front view. A fashion skirt designed in an upcycling look: the waistband is made from the bottom part of a black jacket, with visible seams, zipper and pockets. Attached to this waistband is a very voluminous, floor-length white tulle skirt, airy, layered and elegant, falling evenly. The photo is on a pure white background, high resolution, shop style, luxury fashion editorial quality.",extracted_images/65.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/65_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,9,8.5,"The edited image closely follows the instruction, featuring a fashion skirt with a black jacket waistband and a voluminous white tulle skirt. The visual quality is high, with clear details and a clean, professional look. However, the black jacket used in the edit does not match the description of the 'bottom part of a black jacket' and lacks visible seams, zipper, and pockets as specified."
68,setze in die seitennähte schwarze tüllkanten ein,extracted_images/68.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/68_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,8,8.0,"The edited image successfully adds black tulle edges along the side seams of the shirt, closely following the instruction. The visual quality is good, with the tulle edges blending well with the shirt. However, the placement of the tulle is slightly uneven, which slightly reduces the overall score."
69,"add a drawstring in the waistlibe that is gathered wit black tulle ribbon that comes out at the sideseams, add wide tulle stripe to the sideseams",extracted_images/69.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/69_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds a drawstring in the waistline with gathered black tulle ribbon that comes out at the side seams. However, the wide tulle stripe on the side seams is not clearly visible, which slightly reduces the perceptual quality. The overall effect is visually appealing but could benefit from more distinct side seam tulle stripes."
70,"add a drawstring in the wist that is gathered with a tulle band that comes out at the sideseams as bow, add tulle stripe to the sides edges",extracted_images/70.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/70_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,8,8.0,"The edited image successfully adds a drawstring in the waist that is gathered with a tulle band, which comes out at the side seams as a bow. Additionally, tulle stripes are added to the side edges. The visual quality is good, but the integration of the tulle could be slightly more seamless. Overall, the edit closely follows the instruction and maintains a high visual quality."
71,"add a drawstring in the waist that is gathered with a white band that comes out at the sideseams as bow, add 3cm tulle stripe along the sides edges",extracted_images/71.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/71_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully adds a drawstring at the waist with a gathered white band that forms a bow at the sides, following the instruction closely. However, the tulle stripe along the sides is not clearly visible, which slightly reduces the perceptual quality. The overall effect is visually appealing but could benefit from more distinct side stripes."
72,TOPSTITCH A TULLE BREAST POCKET FILLED WITH RHINESTONES,extracted_images/72.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/72_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,9,8.5,"The edited image successfully incorporates a tulle breast pocket filled with rhinestones, closely following the instruction. The visual quality is high, with detailed and realistic rhinestones and tulle. However, the overall fit and integration of the pocket with the original garment could be slightly more seamless."
73,TOPSTITCH A VERY TRANSPARENT TULLE BREAST POCKET THAT IS FILLED WITH LOSE RHINESTONES IN THE POCKETS THA SHOW THROUGH,extracted_images/73.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/73_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,6,7,6.5,"The edited image features a black jacket with rhinestone embellishments on the chest area, which partially aligns with the instruction to 'TOPSTITCH A VERY TRANSPARENT TULLE BREAST POCKET THAT IS FILLED WITH LOSE RHINESTONES IN THE POCKETS THA SHOW THROUGH'. However, the transparency of the tulle and the specific placement of loose rhinestones are not accurately represented. The visual quality of the edited image is good, but the semantic consistency is only moderate due to the discrepancies in the instruction's details."
74,EMBROIDER THE HEM WITH HUGE RECTANGLE BLACK RHINESTONES,extracted_images/74.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/74_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,7,8,7.5,"The edited image follows the instruction to embroider the hem with black rhinestones, but the design is more intricate and scattered rather than in huge rectangle shapes. The visual quality is high, but the design does not fully match the specific instruction."
75,TOPSTITCH A BLACK TULLE BIB THAT IS OPEN AT THE BUTTON LINE,extracted_images/75.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/75_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,8,8.0,"The edited image successfully adds a black tulle bib to the shirt, which is open at the button line, following the instruction closely. The visual quality is high, with the tulle material looking realistic and well-integrated with the shirt. The only minor issue is that the tulle appears slightly less transparent than typical tulle fabric, but this does not significantly detract from the overall quality."
76,TOPSTITCH  10 BLACK TULLE RIBBONS VERTIKALLY to the chest IN THE SHAPE OF A BIB,extracted_images/76.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/76_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully incorporates 10 black tulle ribbons vertically on the chest in the shape of a bib, closely following the instruction. The visual quality is high, with the ribbons and the bib shape accurately represented. The only minor issue is that the ribbons are slightly uneven, which slightly affects the perceptual quality."
77,INSERT A BLACK TULLE FABRIC BLOCK TO THE WAISTLINE to make it longer,extracted_images/77.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/77_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edit successfully follows the instruction by inserting a black tulle fabric block at the waistline, making the garment longer. The visual quality is good, with the tulle fabric blending well with the original garment. However, there are minor inconsistencies in the fabric texture and shadowing, which slightly affect the overall realism."
78,add tulle stripe to the chest,extracted_images/78.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/78_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully adds a tulle stripe to the chest area, closely following the instruction. The visual quality is good, with the tulle stripe blending well with the rest of the garment. However, there are minor inconsistencies in the texture and shading, which slightly affect the overall realism."
79,add neon yellow ribbon along shoulder and arm,extracted_images/79.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/79_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully adds a neon yellow ribbon along the shoulder and arm, closely following the instruction. The visual quality is good, with the ribbon appearing well-integrated and vibrant. However, there is a slight discrepancy in the ribbon's alignment on the left shoulder, which slightly affects the overall perceptual quality."
80,"make short sleeves, topstitch pockets to the front",extracted_images/80.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/80_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,7,8,7.5,"The edited image successfully transforms the original long-sleeve sweatshirt into a short-sleeve denim jacket with topstitched pockets on the front. However, the transformation introduces a different type of garment (denim jacket) rather than modifying the original sweatshirt. The visual quality of the edited image is good, but the semantic consistency is slightly compromised due to the change in material and style."
